"","text","created_at.x","author_id","id","lang","possibly_sensitive","reply_settings","conversation_id","created_at.y","name","url","description","location","profile_image_url","verified","username","protected","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","pinned_tweet_id","geo_place_id","text_with_display_links"
"1","@Kansei13Kansei We do that daily in the U.S. too. =\ I live in Tampa Bay, and we've been dealing with a huge release of raw sewage.    Nicaragua however has almost 90% of its energy coming from renewable resources already. We definitely don't, but should.. http   wusfnews wusf usf edu post st pete upgrades should keep sewage out tampa bay",2018-01-10 20:18:16,"485490353","951186448182587392","en",FALSE,"everyone","950679284464668673","2012-02-07T07:59:53.000Z","Six","https://t.co/5X2rm6kDXB","Resisting🌟More American Than 🍎 🥧Insatiably Curious📘1st Nation🪶GA🍑SC🌴France🍷KY🏇LA⚜️OH🛩️FL🏖️ Πολλά Idiomas Spoken Ici🦋♤ ❤️ = I see you","Resisting in Tampa Bay!","https://pbs.twimg.com/profile_images/1083150828096110592/oRJOOdYa_normal.jpg",FALSE,"SixieGames",FALSE,0,1,1,0,0,3599,3435,130903,9,"713377689743335424","1543622518522658818",NA,"@Kansei13Kansei We do that daily in the U.S. too. =\ I live in Tampa Bay, and we've been dealing with a huge release of raw sewage.  https://t.co/pTZGfJuJbV  Nicaragua however has almost 90% of its energy coming from renewable resources already. We definitely don't, but should."
"2","The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. . http   www tampabay com news environment Pumping sewage underground is illegal St Pete wants it legal _164386162",2018-01-14 17:32:50,"14304462","952594368799625222","en",FALSE,"everyone","952594368799625222","2008-04-04T17:14:50.000Z","Tampa Bay Times","https://t.co/cGIDc1tNIf","Florida's largest newspaper with 14 Pulitzer Prizes. Have story ideas or tips? DM us. Support our local journalism: https://t.co/9cTNKzUWzN","St. Petersburg, Florida","https://pbs.twimg.com/profile_images/1066713591246725120/wFmoB0Xs_normal.jpg",TRUE,"TB_Times",FALSE,4,2,7,0,0,319671,5488,267508,3121,NA,"1593648689536413696",NA,"The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE"
"3","RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The a…",2018-01-14 17:35:27,"19447498","952595028676923392","en",FALSE,"everyone","952595028676923392","2009-01-24T14:20:40.000Z","Tymber Dalton / Lesli Richardson","https://t.co/XH3kF2SC7I","(She/Her) Snarky, mostly harmless author, geek, Pagan witch, Oxford comma ♥️er. Gives good brain. Part-time shield maiden in training. Spoonie. #AuDHD","Dagnabbit, Florida!","https://pbs.twimg.com/profile_images/1402598114536656897/aPtK4gM3_normal.jpg",FALSE,"TymberDalton",FALSE,4,0,0,0,0,4513,5002,215256,236,NA,"1589806881023098884",NA,"The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE"
"4","@TB_Times Jfc what a terrible idea.",2018-01-14 17:35:37,"742085897227784192","952595069441363968","en",FALSE,"everyone","952594368799625222","2016-06-12T20:07:19.000Z","Veronica",NA,"Unapologetic Feminist, Elder Millennial","Tampa, FL","https://pbs.twimg.com/profile_images/1326057122392629248/bZJ_3XYZ_normal.jpg",FALSE,"V_Newt84",FALSE,0,0,1,0,0,219,101,7129,0,"14304462",NA,NA,NA
"5","RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The a…",2018-01-14 17:37:56,"14297858","952595653070290950","en",FALSE,"everyone","952595653070290950","2008-04-03T23:36:53.000Z","Liz C-137",NA,"∞ ♡ oscillating mind roaming home ♡ ∞ ☽☾  #mentalhealth, #metaphysics & #mysticism 🎧🎶🎨📚","St Petersburg, FL","https://pbs.twimg.com/profile_images/1573774140024279041/7tNxCt8e_normal.jpg",FALSE,"lizafer",FALSE,4,0,0,0,0,318,709,14657,13,NA,"1537275322768535552",NA,"The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE"
"6","RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The a…",2018-01-14 17:46:05,"820187383","952597703506255873","en",FALSE,"everyone","952597703506255873","2012-09-12T19:12:14.000Z","💙🇺🇦💙𝓑𝓻𝓲𝓽𝓹🎯𝓹𝓽𝓪𝓻𝓽𝓼 💙🇺🇦💙","https://t.co/PbkpXLAe8h","❝Ah, it stinks, it sucks; it's anthropologically unjust.❞ ~ Jarvis Cocker
💕👫 she/her
❈ Dems welcome. No GOP troglodytes. Shoo. ❈
#BLM @britpoptarts@mas.to","House of Eclecstacy!","https://pbs.twimg.com/profile_images/1587600212423573506/1rhAyg0r_normal.jpg",FALSE,"Britpoptarts",FALSE,4,0,0,0,0,8095,8882,1353472,215,NA,"892454645259481088",NA,"The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE"
"7","@TB_Times It must be the cheapest way to deal with the problem. Which will not correctly deal with the problem, but will delay having to make politically hard decision.",2018-01-14 17:56:31,"28585935","952600328779780101","en",FALSE,"everyone","952594368799625222","2009-04-03T15:32:51.000Z","Mark McC",NA,"","USA","https://pbs.twimg.com/profile_images/993152403322130433/tIOBHARc_normal.jpg",FALSE,"Marcusmac99",FALSE,0,0,0,0,0,76,108,12987,0,"14304462",NA,NA,NA
"8","RT @TB_Times: The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The a…",2018-01-15 15:20:47,"329745459","952923526343905280","en",FALSE,"everyone","952923526343905280","2011-07-05T15:20:23.000Z","Justine Griffin","https://t.co/u2xZJsCvlp","@TB_Times Economy & Growth Editor. Equestrian. Egg donor. Mother of 🐎🐕🐓. Tips? jgriffin@tampabay.com","St Petersburg, FL","https://pbs.twimg.com/profile_images/1478031891420876802/ifqL0NNs_normal.jpg",TRUE,"SunBizGriffin",FALSE,4,0,0,0,0,3557,1999,34726,235,NA,"1477775982820003847",NA,"The Tampa Bay Times asked the Florida Department of Environmental Protection whether it would consider such a request.

The answer was an emphatic no. https://t.co/MJ31eYU3SE"
"9","St Petersburg is experiencing massive power outages and the bay is starting to smell, massive sewage spill possible?. ",2018-01-29 00:01:58,"1265131442","957765727615889409","en",FALSE,"everyone","957765727615889409","2013-03-13T18:29:17.000Z","Badger 1848 🇺🇸🇺🇦",NA,"","Tampa, FL","https://pbs.twimg.com/profile_images/1267485026851184641/t8-kIBcD_normal.jpg",FALSE,"LacDuMichigan",FALSE,0,0,0,0,0,194,294,7025,4,NA,"765283381143822337","dc62519fda13b4ec","St Petersburg is experiencing massive power outages and the bay is starting to smell, massive sewage spill possible?"
"10","So what exactly defines one as a shithole country....""million gallons of partially treated sewage had been dumped into the waters of Tampa Bay"" - St. Petersburg’s latest sewage mystery is quite colorful . https   www tampabay com news environment St Petersburg s latest sewage mystery is quite colorful_166130332",2018-03-14 15:18:49,"3438519137","973941527549566976","en",FALSE,"everyone","973941527549566976","2015-08-24T22:08:33.000Z","the return of Shooter","https://t.co/sxy3Ykozk3","WE THE THUNDER ⚡️ a TB Lightning Podcast Host & Producer 🧮 Occasional animator and content creator 🪧
instagram: @shooteyshoots","crazytown","https://pbs.twimg.com/profile_images/1352420717237776390/wVuGmXiH_normal.jpg",FALSE,"shooteyshoots",FALSE,0,0,0,0,0,1021,984,25860,33,NA,"1583135896853176321",NA,"So what exactly defines one as a shithole country....""million gallons of partially treated sewage had been dumped into the waters of Tampa Bay"" - St. Petersburg’s latest sewage mystery is quite colorful https://t.co/MwsbpIflMZ"
