"","text","created_at.x","reply_settings","id","possibly_sensitive","lang","author_id","conversation_id","location","protected","description","verified","username","name","created_at.y","profile_image_url","url","pinned_tweet_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_bookmark_count","public_metrics.x_impression_count","geo_place_id","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","public_metrics.y_like_count","text_with_display_links","in_reply_to_user_id","reply.to.thread.no.term"
"1","Fish kills suspected to be related to red tide were reported to @MyFWC  in Pinellas, Sarasota, Charlotte, and Lee counties. Respiratory irritation in people was reported in Pinellas, Sarasota and Charlotte counties. #Poison Help 1-800-222-1222. . https   health wusf usf edu health news florida 2024 11 04 red tide and related respiratory irritation reported in tampa bay coastal counties",2024-11-05 18:01:00,"everyone","1853860078257848527",FALSE,"en","236390420","1853860078257848527","Florida, USA",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",FALSE,"FloridaPoison","FL Poison Control","2011-01-10T13:44:51.000Z","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3",NA,0,0,0,0,0,32,NA,1210,429,10249,21,2582,"Fish kills suspected to be related to red tide were reported to @MyFWC  in Pinellas, Sarasota, Charlotte, and Lee counties. Respiratory irritation in people was reported in Pinellas, Sarasota and Charlotte counties. #Poison Help 1-800-222-1222. https://t.co/tQWvc9DTil",NA,NA
"2","🌊Red tide was detected in 76 samples collected from Florida’s Gulf Coast. Bloom concentrations were present in 18 samples: 2 off Pinellas County, 3 off Sarasota County, 4 off Charlotte County, 8 off Lee County, and 1 off of Collier County. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1853542989160984579 video 1",2024-11-04 21:01:00,"everyone","1853542989160984579",FALSE,"en","236390420","1853542989160984579","Florida, USA",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",FALSE,"FloridaPoison","FL Poison Control","2011-01-10T13:44:51.000Z","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3",NA,0,0,0,0,0,47,NA,1210,429,10249,21,2582,"🌊Red tide was detected in 76 samples collected from Florida’s Gulf Coast. Bloom concentrations were present in 18 samples: 2 off Pinellas County, 3 off Sarasota County, 4 off Charlotte County, 8 off Lee County, and 1 off of Collier County. #Poison Help 1-800-222-1222. https://t.co/DsefETrejt",NA,NA
"3","🌊Red tide was detected in 76 samples collected from Florida’s Gulf Coast. Bloom concentrations were present in 18 samples: 2 off Pinellas County, 3 off Sarasota County, 4 off Charlotte County, 8 off Lee County, and 1 off of Collier County. #Poison Help 1-800-222-1222. . https   x com FloridaPoison status 1853437293144813574 video 1",2024-11-04 14:01:00,"everyone","1853437293144813574",FALSE,"en","236390420","1853437293144813574","Florida, USA",FALSE,"Florida's Poison Control Centers provide free, confidential help with poisoning emergencies 24/7/365 @ 1-800-222-1222. RTs/follows/favorites ≠ endorsement",FALSE,"FloridaPoison","FL Poison Control","2011-01-10T13:44:51.000Z","https://pbs.twimg.com/profile_images/798194714281316352/nEcHrPCl_normal.jpg","https://t.co/JPynmUPoh3",NA,0,0,0,0,0,59,NA,1210,429,10249,21,2582,"🌊Red tide was detected in 76 samples collected from Florida’s Gulf Coast. Bloom concentrations were present in 18 samples: 2 off Pinellas County, 3 off Sarasota County, 4 off Charlotte County, 8 off Lee County, and 1 off of Collier County. #Poison Help 1-800-222-1222. https://t.co/CZJHNfX388",NA,NA
"4","RT @wusf: Over the past week, the red tide organism Karenia brevis was detected in 85 samples: one offshore of Pinellas County, two offshore of Manatee County, five in and offshore of Sarasota County, and four offshore of Charlotte County.

. https   www wusf org environment 2024 11 01 red tide is back in sarasota bay",2024-11-02 00:02:45,"everyone","1852501564784554382",FALSE,"en","377666632","1852501564784554382","Land O Lakes, Florida",FALSE,"Radio man, Podcast man, Writer man",FALSE,"radiocraigkopp","Craig Kopp","2011-09-21T22:53:34.000Z","https://pbs.twimg.com/profile_images/1490711932650889217/kLsdYtt5_normal.jpg",NA,NA,2,0,0,0,0,0,NA,1113,1564,43604,60,40416,"RT @wusf: Over the past week, the red tide organism Karenia brevis was detected in 85 samples: one offshore of Pinellas County, two offshore of Manatee County, five in and offshore of Sarasota County, and four offshore of Charlotte County.

https://t.co/YPMkoCJ4CC",NA,NA
"5","RT @wusf: Over the past week, the red tide organism Karenia brevis was detected in 85 samples: one offshore of Pinellas County, two offshore of Manatee County, five in and offshore of Sarasota County, and four offshore of Charlotte County.

. https   www wusf org environment 2024 11 01 red tide is back in sarasota bay",2024-11-01 23:07:37,"everyone","1852487690412757066",FALSE,"en","619451921","1852487690412757066","Florida, USA",FALSE,"Proud Democrat 
🌊🏳️‍🌈🇺🇦🇺🇸
#VoteBlue",FALSE,"KlinglerRobin","RockinRobin","2012-06-26T21:54:20.000Z","https://pbs.twimg.com/profile_images/1307456444145557504/O5bIr0iK_normal.jpg",NA,NA,2,0,0,0,0,0,NA,1062,5099,46312,3,223219,"RT @wusf: Over the past week, the red tide organism Karenia brevis was detected in 85 samples: one offshore of Pinellas County, two offshore of Manatee County, five in and offshore of Sarasota County, and four offshore of Charlotte County.

https://t.co/YPMkoCJ4CC",NA,NA
"6","Over the past week, the red tide organism Karenia brevis was detected in 85 samples: one offshore of Pinellas County, two offshore of Manatee County, five in and offshore of Sarasota County, and four offshore of Charlotte County.

. https   www wusf org environment 2024 11 01 red tide is back in sarasota bay",2024-11-01 23:00:02,"everyone","1852485781698593233",FALSE,"en","17544442","1852485781698593233","Tampa, FL",FALSE,"WUSF Public Media is the Tampa Bay area’s source for news, in-depth reporting, educational programming, arts, and the finest classical music.",FALSE,"wusf","WUSF","2008-11-21T20:07:08.000Z","https://pbs.twimg.com/profile_images/1714703492890394624/IOVwz2sB_normal.jpg","https://t.co/KBo4cZ4tOe","1787836246024437952",2,0,2,0,0,142,NA,15266,2342,41419,0,2742,"Over the past week, the red tide organism Karenia brevis was detected in 85 samples: one offshore of Pinellas County, two offshore of Manatee County, five in and offshore of Sarasota County, and four offshore of Charlotte County.

https://t.co/YPMkoCJ4CC",NA,NA
"7","Red tide found in water samples from Southwest Florida to Pinellas County -  #GoogleAlerts. https   www fox13news com news red tide found water samples from southwest florida pinellas county",2024-11-01 22:27:08,"everyone","1852477502968476016",FALSE,"en","534263140","1852477502968476016",NA,FALSE,"",FALSE,"FloridaIssues","Florida Issues","2012-03-23T12:49:26.000Z","https://pbs.twimg.com/profile_images/1169906487172333577/HqrgWFkr_normal.jpg",NA,NA,0,0,0,0,0,22,NA,1093,11,159567,37,1353,"Red tide found in water samples from Southwest Florida to Pinellas County - https://t.co/NikNZCVVjM #GoogleAlerts",NA,NA
"8","Suspected red tide respiratory irritation reported in Pinellas, Sarasota counties . https   www wfla com news local news suspected red tide fish kills respiratory irritation reported in pinellas sarasota counties",2024-11-01 13:51:24,"everyone","1852347714438107184",FALSE,"en","353119109","1852347714438107184","Florida",FALSE,"Su Real Alteza Guillermo Dafid desde Casa Morillo de Andalusia y Rey de Nuevo Espana y del Gente y Conde de Cartagena y Marqués de La Puerta (1816 Fernando VII)",FALSE,"billmorill","REX Bill Morill 💫 🇮🇹 🇫🇷 🇳🇬","2011-08-11T15:40:23.000Z","https://pbs.twimg.com/profile_images/1686125606734356481/UEWoRkEO_normal.jpg","https://t.co/Ou0oi3cUS1","1410030332934565895",0,0,0,0,0,26,NA,632,561,182260,2,109711,"Suspected red tide respiratory irritation reported in Pinellas, Sarasota counties https://t.co/jlU3DWa4oJ",NA,NA
"9","Red tide found in water samples from Southwest Florida to Pinellas County

. https   thesuncoastnews com 2024 11 red tide found in water samples from southwest florida to pinellas county",2024-11-01 07:09:41,"everyone","1852246617358745950",FALSE,"en","747552338","1852246617358745950","Sarasota, Florida",FALSE,"Covering local Suncoast news and some national news. Alumna @UofMaryland, 100% disabled Navy Veteran. Bringing back Truth In Media!",FALSE,"TheSuncoastNews","Francesco Abbruzzino - The Scoop","2012-08-09T16:54:44.000Z","https://pbs.twimg.com/profile_images/1801683921999949824/dcS2eVXN_normal.jpg","https://t.co/ZhRKxESlva",NA,0,0,0,0,0,20,NA,1319,395,162673,55,1451,"Red tide found in water samples from Southwest Florida to Pinellas County

https://t.co/4nyY4lEHQV",NA,NA
"10","Recent hurricanes—Debbie, Helene, and Milton—contributed to septic backups and water treatment issues across the region, intensifying water quality challenges...



#PIESun. https   pie sun com 2024 10 31 red tide and bacteria levels persist spike in southwest florida and pinellas waters weeks after hurricanes",2024-10-31 16:05:17,"everyone","1852019020020547898",FALSE,"en","1839381876211113984","1852019020020547898","St. Petersburg, Florida",FALSE,"Local St. Pete-Clearwater, Florida News, Events, and Destinations",FALSE,"ThePIESun","St. Pete-Clearwater Sun","2024-09-26T19:10:16.000Z","https://pbs.twimg.com/profile_images/1839382051910520832/-AsxpgmZ_normal.jpg","https://t.co/5lLoq2abmx",NA,0,0,0,0,0,6,"01dd3bb421d0694d",2,19,215,0,4,"Recent hurricanes—Debbie, Helene, and Milton—contributed to septic backups and water treatment issues across the region, intensifying water quality challenges...

https://t.co/bolCbwUdYQ

#PIESun",NA,NA
