"","text","conversation_id","created_at.x","author_id","reply_settings","possibly_sensitive","lang","id","protected","profile_image_url","created_at.y","location","verified","pinned_tweet_id","url","username","name","description","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","in_reply_to_user_id","geo_place_id","text_with_display_links"
"1","Hey #Englewood #swfl #Florida We have have problem.  #sendthewatersouth #redtide #bluegreenalgae #bullsugar #protectwhatyoulove. https   www facebook com 1636004511 posts 10213443588277564","1011751590053728256",2018-06-26 23:22:31,"241334616","everyone",FALSE,"en","1011751590053728256",FALSE,"https://pbs.twimg.com/profile_images/1402737968863981571/o4KWIHAG_normal.jpg","2011-01-22T01:02:14.000Z","SWFL",FALSE,NA,"https://t.co/6rTrpuq1kE","EBeachcomber","The Essential Beachcomber","I'm a native-born Floridian who has lived on the beaches of SWFL my entire life. I love to walk the beach and see what treasures I can find.",1,0,0,0,0,201,390,2437,4,NA,"ab597741c20efb2e","Hey #Englewood #swfl #Florida We have have problem. https://t.co/UXf9mSKs4m #sendthewatersouth #redtide #bluegreenalgae #bullsugar #protectwhatyoulove"
"2","RT @EBeachcomber: Hey #Englewood #swfl #Florida We have have problem. https://t.co/UXf9mSKs4m #sendthewatersouth #redtide #bluegreenalgae #…","1011781217254039555",2018-06-27 01:20:14,"1654237663","everyone",FALSE,"en","1011781217254039555",FALSE,"https://pbs.twimg.com/profile_images/1268612884889776128/hx4X42ol_normal.jpg","2013-08-08T00:43:40.000Z","Florida, USA",FALSE,NA,"https://t.co/xbtvQAPskE","mblain93","sunshinesheller","Love the beach, shells, sunshine,nature, Florida, and photography.",1,0,0,0,0,36,209,363,0,NA,NA,"Hey #Englewood #swfl #Florida We have have problem. https://t.co/UXf9mSKs4m #sendthewatersouth #redtide #bluegreenalgae #bullsugar #protectwhatyoulove"
"3","Englewood Beach, Gulf Coast Florida. Beware of the Blue-Green Algae. — feeling peaceful in Englewood Beach . https   www facebook com 733575217 posts 10156387710810218","1024039642004373504",2018-07-30 21:10:51,"751528741","everyone",FALSE,"en","1024039642004373504",FALSE,"https://pbs.twimg.com/profile_images/601003884228648960/YVn82Wx5_normal.png","2012-08-11T16:25:15.000Z","South Central Nebraska",FALSE,NA,NA,"JayDeHall2","Jay De Hall","Former globetrotter and current volunteer worker living in RED CLOUD, Webster County,  Nebraska. Dedicated to rural economic and community development.",0,0,0,0,0,365,1975,3421,5,NA,NA,"Englewood Beach, Gulf Coast Florida. Beware of the Blue-Green Algae. — feeling peaceful in Englewood Beach https://t.co/06risy1CiZ"
"4","@samoschmamo @kellyraley massive red tide bloom Sarasota to Florida Bay + blue green cyanobacteria bloom in river . https   twitter com calusawater status 1024329471388790784 photo 1","1024318017608540160",2018-07-31 16:22:31,"751811102175064065","everyone",FALSE,"en","1024329471388790784",FALSE,"https://pbs.twimg.com/profile_images/1451641664607604739/2ovGtuQJ_normal.jpg","2016-07-09T16:11:49.000Z","Florida, USA",FALSE,"1583643632804188160",NA,"calusawater","Calusa Waterkeeper","Proud member of Waterkeeper Alliance for #fishable #swimmable #drinkable #cleanwater",0,0,1,0,0,2249,4967,44643,71,"849659331335385089",NA,"@samoschmamo @kellyraley massive red tide bloom Sarasota to Florida Bay + blue green cyanobacteria bloom in river https://t.co/qGHsFAvcpo"
"5","@marcorubio @NOAA Little Marco! Wanna tell us what ya think about what’s happening along Florida’s coast? We heard you’re a Dolphins Fan! 
Victims from Red Tide in the Gulf &amp; toxic Blue-Green Algae from Caloosahatchee. Pictures taken in July, most from Lee County. Collier, Charlotte, Sarasota too. . https   twitter com not_my_cheeto_ status 1025012640505114624 photo 1","1025006207910719488",2018-08-02 13:37:11,"897906388537618433","everyone",FALSE,"en","1025012640505114624",FALSE,"https://pbs.twimg.com/profile_images/1307476702029905921/23ct7oVF_normal.jpg","2017-08-16T19:42:20.000Z","Planet Earth",FALSE,NA,NA,"la_bruja_de_MIA","La Bruja Tropical 🌴","I got stones 🪨, sage 🌱, black 🐈‍⬛ gatos, mangos 🥭 y caracoles 🐚... Limpiate!",2,1,0,0,0,155,385,6337,3,"15745368",NA,"@marcorubio @NOAA Little Marco! Wanna tell us what ya think about what’s happening along Florida’s coast? We heard you’re a Dolphins Fan! 
Victims from Red Tide in the Gulf &amp; toxic Blue-Green Algae from Caloosahatchee. Pictures taken in July, most from Lee County. Collier, Charlotte, Sarasota too. https://t.co/Bu4qUQPBmM"
"6","@marcorubio @NOAA Still wondering about #climatechange? You said you’re not a Scientist, maybe you should talk to one. Here are more victims of Red Tide in the Gulf and toxic Blue-Green Algae from the Caloosahatchee. 
Pictures taken in July, most from Lee County. Collier, Charlotte, &amp; Sarasota. . https   twitter com not_my_cheeto_ status 1025013391281332225 photo 1","1025006207910719488",2018-08-02 13:40:10,"897906388537618433","everyone",FALSE,"en","1025013391281332225",FALSE,"https://pbs.twimg.com/profile_images/1307476702029905921/23ct7oVF_normal.jpg","2017-08-16T19:42:20.000Z","Planet Earth",FALSE,NA,NA,"la_bruja_de_MIA","La Bruja Tropical 🌴","I got stones 🪨, sage 🌱, black 🐈‍⬛ gatos, mangos 🥭 y caracoles 🐚... Limpiate!",3,1,3,0,0,155,385,6337,3,"15745368",NA,"@marcorubio @NOAA Still wondering about #climatechange? You said you’re not a Scientist, maybe you should talk to one. Here are more victims of Red Tide in the Gulf and toxic Blue-Green Algae from the Caloosahatchee. 
Pictures taken in July, most from Lee County. Collier, Charlotte, &amp; Sarasota. https://t.co/dsFg7ItJgY"
"7","RT @not_my_cheeto_: @marcorubio @NOAA Little Marco! Wanna tell us what ya think about what’s happening along Florida’s coast? We heard you’…","1025016450036260864",2018-08-02 13:52:20,"862376452490219521","everyone",FALSE,"en","1025016450036260864",FALSE,"https://pbs.twimg.com/profile_images/987123721201750018/Io3EQYGN_normal.jpg","2017-05-10T18:39:03.000Z","Florida ",FALSE,"1152342296567922693",NA,"Acapecodder","Old white guy","Repost and likes indicate that I found the subject interesting.",2,0,0,0,0,2626,3330,22673,2,NA,NA,"@marcorubio @NOAA Little Marco! Wanna tell us what ya think about what’s happening along Florida’s coast? We heard you’re a Dolphins Fan! 
Victims from Red Tide in the Gulf &amp; toxic Blue-Green Algae from Caloosahatchee. Pictures taken in July, most from Lee County. Collier, Charlotte, Sarasota too. https://t.co/Bu4qUQPBmM"
"8","RT @not_my_cheeto_: @marcorubio @NOAA Little Marco! Wanna tell us what ya think about what’s happening along Florida’s coast? We heard you’…","1025052884495421440",2018-08-02 16:17:06,"59976943","everyone",FALSE,"en","1025052884495421440",FALSE,"https://pbs.twimg.com/profile_images/970372424800890885/aGjScE3D_normal.jpg","2009-07-25T04:14:02.000Z","Florida, USA",FALSE,NA,"https://t.co/JMsFGEMjPc","jjaspet01","Jessica Jones","Social Worker BSW, MSW",2,0,0,0,0,70,330,1155,0,NA,NA,"@marcorubio @NOAA Little Marco! Wanna tell us what ya think about what’s happening along Florida’s coast? We heard you’re a Dolphins Fan! 
Victims from Red Tide in the Gulf &amp; toxic Blue-Green Algae from Caloosahatchee. Pictures taken in July, most from Lee County. Collier, Charlotte, Sarasota too. https://t.co/Bu4qUQPBmM"
"9","@CNN It's more than red tide! Send a news crew to Sarasota and to the south! It's also toxic cyanobacteria released from Lake Okeechobee! It's a nasty green ooz killing manatees and making people sick!. ","1025383957301547008",2018-08-03 14:48:57,"1025388015047376896","everyone",FALSE,"en","1025393086174769153",FALSE,"https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png","2018-08-03T14:28:48.000Z",NA,FALSE,NA,NA,"KBrincklow","Kimberly Brincklow","",0,0,0,0,0,0,0,1,0,"759251",NA,"@CNN It's more than red tide! Send a news crew to Sarasota and to the south! It's also toxic cyanobacteria released from Lake Okeechobee! It's a nasty green ooz killing manatees and making people sick!"
"10","Wow-yuck! Will cleaning up the obvious effects of red tide &amp; blue green algae make a difference to our tourism? Future Lake Okeechobee releases with this severe an affect? . https   www mysuncoast com news local sarasota county crews cleaning up dead fish from area beaches article_8038bca0 96a5 11e8 ba22 27201aea83f6 html","1025399518609715200",2018-08-03 15:14:30,"1854427098","everyone",FALSE,"en","1025399518609715200",FALSE,"https://pbs.twimg.com/profile_images/1537464242445631489/f0XODBc2_normal.jpg","2013-09-11T14:15:39.000Z","Fort Myers, Florida",FALSE,NA,"https://t.co/MVXIbo3IoK","SWFLJenSmith","Jennifer Smith","Veteran, Aviation enthusiast, Dachshund mom",0,0,1,0,0,441,541,3581,4,NA,NA,"Wow-yuck! Will cleaning up the obvious effects of red tide &amp; blue green algae make a difference to our tourism? Future Lake Okeechobee releases with this severe an affect? https://t.co/LAXZmqdzKv"
